"TEST_NAME","Pearson Correlation 8-hour","Pearson Correlation 24-hour","Spearman Correlation 8-hour","Spearman Correlation 24-hour","8-Hour Min","8-Hour Max","8-Hour Bias","8-Hour Min Difference","8-Hour Max Difference","8-Hour Median Bias","8-Hour Mean Percent Error","8-Hour Median Percent Error","8-Hour Mean log Bias","8-Hour Uncertainty as Percent Error","8-Hour SQRT Bias","8-Hour Cubic Root Bias","8-Hour SD","8-Hour log SD","8-Hour SQRT SD","8-Hour Cubic Root SD","8-Hour LOA Lower","8-Hour LOA Upper","8-Hour LOA 2.5%","8-Hour LOA 97.5%","8-Hour LOA Log Lower","8-Hour LOA Log Upper","8-Hour LOA SQRT Lower","8-Hour LOA SQRT Upper","8-Hour LOA Cubic Root Lower","8-Hour LOA Cubic Root Upper","24-Hour Min","24-Hour Max","24-Hour Bias","24-Hour Median Bias","24-Hour Mean Percent Error","24-Hour Median Percent Error","24-Hour Uncertainty as Percent Error","24-Hour Mean log Bias","24-Hour SQRT Bias","24-Hour SD","24-Hour log SD","24-Hour LOA Lower","24-Hour LOA Upper","24-Hour LOA 2.5%","24-Hour LOA 97.5%","24-Hour LOA Log Lower","24-Hour LOA Log Upper","8-Hour Precision","24-Hour Precision","SE 8-Hour Bias","SE 24-Hour Bias","SE 8-Hour LOA","SE 24-Hour LOA","8-Hour Bias 95% Upper CI","8-Hour Bias 95% Lower CI","24-Hour Bias 95% Upper CI","24-Hour Bias 95% Lower CI","8-Hour 95% Upper CI Top","8-Hour 95% Upper CI Bottom","8-Hour 95% Lower CI Top","8-Hour 95% Lower CI Bottom","24-Hour 95% Upper CI Top","24-Hour 95% Upper CI Bottom","24-Hour 95% Lower CI Top","24-Hour 95% Lower CI Bottom","8-Hour Bias CI","24-Hour Bias CI","8-Hour Shapiro Wilks","24-Hour Shapiro Wilks","8-Hour Skewness","24-Hour Skewness","8-Hour Kurtosis","24-Hour Kurtosis","MDL","PQL","Mean Uncertainty","8-Hour Wilcox Ranked Sign","24-Hour Wilcox Ranked Sign","8-Hour Exceedences","24-Hour Exceedences","8-Hour Inside Line of Equality","24-Hour Inside Line of Equality","8-Hour Exceedences 20% RPD","24-Hour Exceedences 20% RPD"
"OPO4",1,0.9999,1,0.9997,0.002,0.126,-0.0001,-0.001,0.001,0,1.2905,0,0.9916,75.6198,-0.0004,-0.0006,0.0004,0.0153,0.0018,0.0025,-0.0009,0.0007,-11.7647,1,0.9254,1.0625,-0.0039,0.0031,-0.0055,0.0043,0.002,0.126,-0.0001,0,0.6625,0,75.6638,0.9934,-0.0004,0,0.0162,-0.0001,-0.0001,-4.2005,0,0.9233,1.0687,"+/- 0.0008","+/- 0",0.0001,0,0.0058,0,0,-0.0002,-0.0001,-0.0001,0.0124,-0.011,0.0108,-0.0126,-0.0001,-0.0001,-0.0001,-0.0001,"-0.0001 to 0","-0.0001 to -0.0001",0,NA,-1.0384,-3.8806,6.7064,16.0588,0.002,0.008,0.0026,0.2031,0.3711,0,0,"Inside","Outside",0,1
"SIO2",0.9993,0.9992,0.9936,0.9961,8.66,16.2,0.0264,-0.2,0.3,0,0.7073,0.6542,1.0025,5.322,0.004,0.0018,0.1065,0.004,0.0156,0.007,-0.1824,0.2351,-1.1296,2.0361,0.9846,1.0208,-0.0265,0.0346,-0.0119,0.0155,8.61,16.2,0.0469,0.1,0.785,0.1115,5.3216,1.0046,0.0073,0.119,0.0044,-0.1863,0.2802,-1.3902,2.0678,0.9849,1.0248,"+/- 0.20875","+/- 0.23324",0.0177,0.0198,0.0942,0.0996,0.0624,-0.0096,0.0872,0.0066,0.4263,0.0439,0.0088,-0.3736,0.4823,0.078,0.0159,-0.3884,"0.0066 to 0.0624","0.0066 to 0.0872",0.0979,0.03,0.3216,-0.4577,2.9884,3.913,0.05,0.2,0.6453,0.1505,0.0117,0,0,"Inside","Outside",0,0
"SO4",0.998,0.9945,0.985,0.9667,18.8,66.6,-0.0861,-2.9,1.1,0.1,1.8181,0.4935,0.9932,3.6691,-0.013,-0.0056,0.8852,0.0168,0.092,0.0364,-1.8211,1.6489,-12.5572,2.4472,0.9207,1.0714,-0.1933,0.1673,-0.077,0.0657,18.5,66.5,-0.3083,0.2,3.4759,0.207,3.7154,0.9831,-0.0369,1.476,0.0273,-3.2013,2.5846,-16.4952,4.4559,0.8691,1.112,"+/- 1.735","+/- 2.89296",0.1475,0.246,0.2716,0.3507,0.2134,-0.3856,0.1911,-0.8077,2.2002,1.0976,-1.2698,-2.3724,3.2966,1.8727,-2.4893,-3.9132,"-0.8077 to 0.2134","-0.8077 to 0.1911",0,0,-2.3686,-1.4619,8.0745,3.9146,0.1,0.4,1.2083,0.2207,0.4535,4,8,"Inside","Inside",0,0
"TDN",0.9968,0.993,0.9854,0.967,1.31,2.47,0.0008,-0.08,0.06,0,1.2384,1.0823,1.0007,8.484,0.0004,0.0002,0.0286,0.0075,0.011,0.0068,-0.0552,0.0569,-3.8499,2.6133,0.9674,1.0351,-0.0212,0.0219,-0.0131,0.0136,1.37,2.53,-0.0222,0.03,1.9767,-1.0101,8.4758,0.9873,-0.0084,0.042,0.011,-0.1045,0.0601,-5.81,3.3511,0.9395,1.0375,"+/- 0.05605","+/- 0.08232",0.0048,0.007,0.0488,0.0592,0.0105,-0.0089,-0.008,-0.0364,0.156,-0.0422,0.0439,-0.1543,0.1802,-0.06,0.0156,-0.2246,"-0.0364 to 0.0105","-0.0364 to -0.008",0.0414,0.0048,-0.7892,-1.0927,3.7705,7.1062,0.02,0.08,0.1521,0.7163,0.0029,0,1,"Inside","Outside",0,0
"TDPO4",0.9998,0.9998,0.9723,0.9762,0.004,0.143,-0.0007,-0.003,0.002,-0.001,6.3379,1.7693,0.9516,22.4365,-0.0025,-0.0036,0.001,0.0421,0.0044,0.0065,-0.0026,0.0013,-29.4118,8.3072,0.7869,1.1507,-0.0112,0.0061,-0.0163,0.0092,0.004,0.145,-0.0008,0.0005,5.3016,0,23.756,0.987,-0.0015,0.002,0.041,-0.0047,0.0032,-17.8733,18.1818,0.8203,1.1876,"+/- 0.00195","+/- 0.00392",0.0002,0.0003,0.0091,0.0129,-0.0004,-0.001,-0.0001,-0.0015,0.0198,-0.0172,0.0159,-0.0211,0.0294,-0.023,0.0215,-0.0309,"-0.0015 to -0.0004","-0.0015 to -0.0001",0.0014,0,-0.2037,-1.1448,3.7037,3.4985,0.002,0.004,0.0028,0.001,0.0059,1,1,"Outside","Outside",2,1
"TDSAL",0.2385,0.2034,0.5373,0.6495,0.008,0.012,0.0002,-0.002,0.011,0,5.2225,0,1.0141,96.1841,0.0008,0.0011,0.002,0.0694,0.0088,0.0122,-0.0037,0.0041,-18.4091,20.4793,0.7414,1.3871,-0.0164,0.0181,-0.0228,0.025,0.008,0.012,0.0003,0,4.8618,0,97.5309,1.0297,0.0015,0.002,0.0695,-0.0036,0.0043,-11.1801,29.6296,0.7525,1.4091,"+/- 0.0039","+/- 0.00392",0.0003,0.0003,0.0129,0.0129,0.0009,-0.0005,0.001,-0.0004,0.0303,-0.0221,0.0225,-0.0299,0.0305,-0.022,0.0226,-0.0298,"-0.0004 to 0.0009","-0.0004 to 0.001",0,0,4.8033,4.5592,27.589,26.2254,0.008,0,0.008,0.7596,0.4974,1,1,"Inside","Inside",2,3
"TDSFE",0.6101,0.7628,0.6295,0.6976,0.003,0.012,-0.0005,-0.007,0.007,0,19.8551,0,0.9038,77.0833,-0.0035,-0.0057,0.002,0.1533,0.0129,0.0204,-0.0044,0.0034,-68.6275,48.4615,0.4525,1.8053,-0.0288,0.0218,-0.0457,0.0343,0.003,0.009,0.0002,0,10.3177,0,85.2083,1.0268,0.001,0.001,0.1089,-0.0018,0.0021,-28.5714,57.2115,0.6281,1.6786,"+/- 0.0039","+/- 0.00196",0.0003,0.0002,0.0129,0.0091,0.0002,-0.0012,0.0005,-0.0001,0.0296,-0.0228,0.0218,-0.0306,0.0207,-0.0164,0.0167,-0.0203,"-0.0001 to 0.0002","-0.0001 to 0.0005",0,0,0.449,3.5417,9.7787,18.9579,0.003,0,0.003,0.0392,0.6908,2,1,"Inside","Inside",13,8
"TN",0.9959,0.9982,0.9912,0.9918,1.38,3.06,0.0158,-0.08,0.19,0.02,1.8049,1.2628,1.008,7.6333,0.0056,0.0033,0.0466,0.0097,0.0157,0.0093,-0.0755,0.1072,-2.5082,5.6824,0.9648,1.0531,-0.0252,0.0363,-0.0149,0.0215,1.45,3.27,-0.0094,0.02,1.2445,-0.1653,7.5755,0.9947,-0.0035,0.031,0.0074,-0.0702,0.0513,-3.9158,1.9609,0.962,1.0284,"+/- 0.09135","+/- 0.06076",0.0078,0.0052,0.0623,0.0508,0.0316,0,0.0011,-0.0199,0.2337,-0.0193,0.051,-0.202,0.1545,-0.0519,0.033,-0.1734,"-0.0199 to 0.0316","-0.0199 to 0.0011",0.0027,0.1431,1.2841,-0.3174,6.8236,2.6789,0.02,0.08,0.1532,0.0568,0.136,0,0,"Inside","Inside",0,0
"TOC",0.9912,0.9911,0.9789,0.9569,21.9,38.7,-0.1972,-2.5,0.6,0,1.5402,0.8136,0.994,8.0149,-0.0171,-0.0064,0.7109,0.0096,0.0622,0.0233,-1.5906,1.1961,-5.4899,2.0226,0.9519,1.0381,-0.139,0.1048,-0.052,0.0393,23.1,37.5,-0.075,0.5,1.9942,0.3184,8.0608,0.9972,-0.0073,0.67,0.0106,-1.3882,1.2382,-5.7806,3.1351,0.9506,1.046,"+/- 1.39335","+/- 1.3132",0.1185,0.1117,0.2434,0.2363,0.0433,-0.4377,0.1517,-0.3017,1.6902,0.702,-1.0965,-2.0847,1.7179,0.7585,-0.9085,-1.8679,"-0.3017 to 0.0433","-0.3017 to 0.1517",0,0.0817,-1.6105,-0.4388,5.2224,2.2179,0.8,2,2.2667,0.5239,0.6463,0,0,"Inside","Inside",0,0
"TPO4",0.9991,0.9998,0.9951,0.9866,0.006,0.205,0,-0.008,0.012,0,3.1855,1.3262,0.9954,12.2027,-0.0003,-0.0004,0.0027,0.0223,0.0042,0.0047,-0.0053,0.0053,-14.4231,7.5684,0.9001,1.1008,-0.0085,0.008,-0.0096,0.0089,0.006,0.217,0.0003,0.0005,4.0455,0,12.5092,1.0146,0.001,0.001,0.0361,-0.0016,0.0023,-8.9231,28.5714,0.8621,1.1942,"+/- 0.0053","+/- 0.00196",0.0005,0.0002,0.015,0.0091,0.0009,-0.0009,0.0006,0,0.0357,-0.0251,0.0251,-0.0357,0.0208,-0.0162,0.0169,-0.0202,"0 to 0.0009","0 to 0.0006",0,0,1.7747,1.2499,14.1694,4.0905,0.002,0.004,0.0041,0.7158,0.151,0,2,"Inside","Inside",0,2
